Código Región;Comuna;Código Comuna
01;Alto Hospicio;01107
01;Camina;01402
01;Colchane;01403
01;Huara;01404
01;Iquique;01101
01;Pica;01405
01;Pozo Almonte;01401
02;Antofagasta;02101
02;Calama;02201
02;Maria Elena;02302
02;Mejillones;02102
02;Ollague;02202
02;San Pedro de Atacama;02203
02;Sierra Gorda;02103
02;Taltal;02104
02;Tocopilla;02301
03;Alto del Carmen;03302
03;Caldera;03102
03;Chanaral;03201
03;Copiapo;03101
03;Diego de Almagro;03202
03;Freirina;03303
03;Huasco;03304
03;Tierra Amarilla;03103
03;Vallenar;03301
04;Andacollo;04103
04;Canela;04202
04;Combarbala;04302
04;Coquimbo;04102
04;Illapel;04201
04;La Higuera;04104
04;La Serena;04101
04;Los Vilos;04203
04;Monte Patria;04303
04;Ovalle;04301
04;Paiguano;04105
04;Punitaqui;04304
04;Rio Hurtado;04305
04;Salamanca;04204
04;Vicuna;04106
05;Algarrobo;05602
05;Cabildo;05402
05;Calera;05502
05;Calle Larga;05302
05;Cartagena;05603
05;Casablanca;05102
05;Catemu;05702
05;Concon;05103
05;El Quisco;05604
05;El Tabo;05605
05;Hijuelas;05503
05;Isla de Pascua;05201
05;Juan Fernandez;05104
05;La Cruz;05504
05;La Ligua;05401
05;Limache;05802
05;Llaillay;05703
05;Los Andes;05301
05;Nogales;05506
05;Olmue;05803
05;Panquehue;05704
05;Papudo;05403
05;Petorca;05404
05;Puchuncavi;05105
05;Putaendo;05705
05;Quillota;05501
05;Quilpue;05801
05;Quintero;05107
05;Rinconada;05303
05;San Antonio;05601
05;San Esteban;05304
05;San Felipe;05701
05;Santa Maria;05706
05;Santo Domingo;05606
05;Valparaiso;05101
05;Villa Alemana;05804
05;Vina del Mar;05109
05;Zapallar;05405
06;Chepica;06302
06;Chimbarongo;06303
06;Codegua;06102
06;Coinco;06103
06;Coltauco;06104
06;Donihue;06105
06;Graneros;06106
06;La Estrella;06202
06;Las Cabras;06107
06;Litueche;06203
06;Lolol;06304
06;Machali;06108
06;Malloa;06109
06;Marchihue;06204
06;Mostazal;06110
06;Nancagua;06305
06;Navidad;06205
06;Olivar;06111
06;Palmilla;06306
06;Paredones;06206
06;Peralillo;06307
06;Peumo;06112
06;Pichidegua;06113
06;Pichilemu;06201
06;Placilla;06308
06;Pumanque;06309
06;Quinta de Tilcoco;06114
06;Rancagua;06101
06;Rengo;06115
06;Requinoa;06116
06;San Fernando;06301
06;Santa Cruz;06310
06;San Vicente;06117
07;Cauquenes;07201
07;Chanco;07202
07;Colbun;07402
07;Constitucion;07102
07;Curepto;07103
07;Curico;07301
07;Empedrado;07104
07;Hualane;07302
07;Licanten;07303
07;Linares;07401
07;Longavi;07403
07;Maule;07105
07;Molina;07304
07;Parral;07404
07;Pelarco;07106
07;Pelluhue;07203
07;Pencahue;07107
07;Rauco;07305
07;Retiro;07405
07;Rio Claro;07108
07;Romeral;07306
07;Sagrada Familia;07307
07;San Clemente;07109
07;San Javier;07406
07;San Rafael;07110
07;Talca;07101
07;Teno;07308
07;Vichuquen;07309
07;Villa Alegre;07407
07;Yerbas Buenas;07408
08;Alto Biobio;08314
08;Antuco;08302
08;Arauco;08202
08;Cabrero;08303
08;Canete;08203
08;Chiguayante;08103
08;Concepcion;08101
08;Contulmo;08204
08;Coronel;08102
08;Curanilahue;08205
08;Florida;08104
08;Hualpen;08112
08;Hualqui;08105
08;Laja;08304
08;Lebu;08201
08;Los Alamos;08206
08;Los Angeles;08301
08;Lota;08106
08;Mulchen;08305
08;Nacimiento;08306
08;Negrete;08307
08;Penco;08107
08;Quilaco;08308
08;Quilleco;08309
