Región;Código
Arica y Parinacota;15;Región de Arica y Parinacota
Tarapacá;01;Región de Tarapacá:
Antofagasta;02;Región de Antofagasta
Atacama;03;Región de Atacama
Coquimbo;04;Región de Coquimbo
Valparaíso;05;Región de Valparaíso
Metropolitana;13;Región Metropolitana de Santiago
O'Higgins;06;Región del Libertador General Bernardo O'Higgins
Maule;07;Región del Maule
Ñuble;16;Región de Ñuble
Biobío;08;Región del Biobío
Araucanía;09;Región de La Araucanía
Los Ríos;14;Región de Los Ríos
Los Lagos;10;Región de Los Lagos
Aisén;11;Región Aysén del General Carlos Ibáñez del Campo
Magallanes;12;Región de Magallanes y de la Antártica Chilena
